title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Atelier Rorona: Alchemist of Arland,Role-Playing,NIS America,Gust,PS3,0.48,0.22,0.11,0.10,0.05,64.00,2014-06-24,1
Midnight Club: Street Racing,Racing,"Destination Software, Inc",Angel Studios,GBA,0.48,0.34,0.00,0.13,0.01,0.00,2001-11-14,1
Jeopardy!,Misc,Atari,Atari,PS2,0.48,0.24,0.00,0.18,0.06,0.00,2003-10-28,1
ECW Hardcore Revolution,Fighting,Acclaim Entertainment,Acclaim,PS,0.48,0.27,0.00,0.18,0.03,0.00,2000-01-31,1
Cities: Skylines,Simulation,Koch Media,Colossal Order,"PS4, XOne",0.48,0.28,0.04,0.10,0.07,0.00,2017-08-15,2
The Legend of Heroes: Trails of Cold Steel II,Role-Playing,Xseed Games,Nihon Falcom Corporation,"PS3, PSV",0.48,0.11,0.24,0.08,0.05,0.00,2016-09-06,2
Doom 3 BFG Edition,Misc,Bethesda Softworks,id Software,X360,0.48,0.28,0.00,0.15,0.04,0.00,2012-10-16,1
Arctic Thunder,Racing,Midway Games,Inland Productions,"PS2, XB",0.48,0.26,0.00,0.16,0.05,0.00,2001-11-15,2
Millipede,Shooter,Atari,Atari,2600,0.48,0.45,0.00,0.03,0.01,0.00,1984-01-01,1
You're in the Movies,Misc,Microsoft,Zoe Mode,X360,0.48,0.27,0.00,0.17,0.05,51.00,2008-11-17,1
Farpoint,Shooter,Sony Interactive Entertainment,Impulse Gear,PS4,0.48,0.00,0.04,0.38,0.06,0.00,2017-05-16,1
Go Diego Go! Great Dinosaur Rescue,Action,2K Play,Black Lantern Studios,DS,0.48,0.43,0.00,0.01,0.03,0.00,2008-10-27,1
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,Sports,Konami,Konami,"PS2, PS3, PSP",0.48,0.00,0.48,0.00,0.00,0.00,2010-05-20,3
Sonic Lost World,Platform,Sega,Dimps Corporation,3DS,0.48,0.22,0.07,0.15,0.04,52.00,2013-10-29,1
Yu-Gi-Oh! Forbidden Memories (JP sales),Role-Playing,Konami,KCEJ,PS,0.48,0.00,0.45,0.00,0.03,63.00,2002-03-20,1
Resident Evil: Revelations,Shooter,Capcom,Capcom,"WiiU, X360",0.48,0.21,0.05,0.18,0.04,74.50,2013-05-21,2
Crazy Taxi: Fare Wars,Racing,Sega,Sniper Studios,PSP,0.48,0.10,0.02,0.23,0.13,63.00,2007-08-07,1
NFL Xtreme 2,Sports,989 Studios,989 Sports,PS,0.48,0.27,0.00,0.18,0.03,0.00,1999-06-30,1
Burnout Paradise Remastered,Racing,Electronic Arts,Stellar Entertainment,"PS4, XOne",0.48,0.14,0.01,0.26,0.07,80.00,2018-03-16,2
