title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Dragon Ball Z: Harukanaru Densetsu (JP sales),Role-Playing,Atari,Bec,DS,0.15,0.00,0.15,0.00,0.00,0.00,2007-06-05,1
Fugitive Hunter: War on Terror,Shooter,Encore,Black Ops Entertainment,PS2,0.15,0.07,0.00,0.06,0.02,0.00,2003-11-18,1
Dance Dance Revolution (North America),Simulation,Konami,Konami,PS,0.15,0.08,0.00,0.06,0.01,0.00,2001-05-09,1
Farm Frenzy: Animal Country,Simulation,City Interactive,City Interactive,DS,0.15,0.13,0.00,0.01,0.01,0.00,2010-09-28,1
Robotics;Notes,Visual Novel,5pb,5pb. Games,"PS3, PSV, X360",0.15,0.00,0.15,0.00,0.00,0.00,2014-06-26,3
Cardinal Syn,Fighting,989 Studios,Kronos Digital Entertainment,PS,0.15,0.08,0.00,0.06,0.01,52.00,1998-06-30,1
Sonny with a Chance,Action,Disney Interactive Studios,Altron,DS,0.15,0.12,0.00,0.02,0.01,0.00,2010-03-16,1
Kowloon's Gate,Adventure,Sony Computer Entertainment,ArtDink,PS,0.15,0.00,0.14,0.00,0.01,0.00,1997-02-28,1
Elf: The Movie,Action,Crave Entertainment,Humansoft,GBA,0.15,0.10,0.00,0.04,0.00,0.00,2004-11-04,1
Sonic Advance & Sonic Pinball Party Combo Pack,Misc,Sega,Sonic Team,GBA,0.15,0.10,0.00,0.04,0.00,0.00,2005-11-16,1
Doraemon 3: Nobi Dai no Machi SOS!,Platform,Epoch,Epoch,N64,0.15,0.00,0.09,0.00,0.06,0.00,2000-07-28,1
Derby Stallion Gold,Sports,Kadokawa Shoten,Enterbrain,3DS,0.15,0.00,0.15,0.00,0.00,0.00,2014-12-04,1
Geist,Adventure,Nintendo,n-Space,GC,0.15,0.11,0.00,0.03,0.00,66.00,2005-08-15,1
Boktai: The Sun is in Your Hand,Role-Playing,Konami,Kojima Productions,GBA,0.15,0.10,0.00,0.04,0.00,78.00,2003-09-16,1
All Japan Pro Wrestling featuring Virtua,Fighting,Sega,Sega,SAT,0.15,0.00,0.15,0.00,0.00,0.00,1997-10-23,1
Turbo Prop Racing,Racing,Sony Computer Entertainment,SCEE London Studio,PS,0.15,0.08,0.00,0.06,0.01,0.00,1998-06-30,1
Jikkyou Powerful Pro Yakyuu Portable,Sports,Konami,PawaPuro Productions,PSP,0.15,0.00,0.15,0.00,0.00,0.00,2006-04-01,1
Troll and I,Action,Maximum Games,Spiral House,"NS, PS4, XOne",0.15,0.09,0.00,0.04,0.02,0.00,2017-08-15,3
Power Pro Kun Pocket 9,Sports,Konami,PawaPuro Production,DS,0.15,0.00,0.15,0.00,0.00,0.00,2006-12-07,1
Enthusia Professional Racing,Racing,Konami,Konami,PS2,0.15,0.07,0.00,0.06,0.02,0.00,2005-05-03,1
Darkstalkers Chronicle: The Chaos Tower,Fighting,Capcom,Capcom,PSP,0.15,0.13,0.00,0.00,0.01,75.00,2005-03-24,1
Harvest Moon: Hero of Leaf Valley,Simulation,Natsume,Marvelous Interactive,PSP,0.15,0.07,0.05,0.02,0.02,0.00,2010-04-20,1
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,Role-Playing,NIS America,Nippon Ichi Software,PSP,0.15,0.08,0.06,0.00,0.01,80.00,2010-10-26,1
Blazing Dragons,Adventure,Mindscape,Illusions Game Company,PS,0.15,0.08,0.00,0.06,0.01,66.00,1996-10-31,1
Petz: Dogz Talent Show,Simulation,Ubisoft,Ubisoft,DS,0.15,0.14,0.00,0.00,0.01,0.00,2009-11-17,1
White Knight Chronicles: Origins,Role-Playing,Sony Computer Entertainment,SCE Japan Studio,PSP,0.15,0.00,0.09,0.04,0.02,0.00,2011-06-10,1
Charm Girls Club: Pajama Party,Misc,Electronic Arts,Electronic Arts,Wii,0.15,0.14,0.00,0.00,0.01,0.00,2009-10-20,1
J-League Victory Goal,Sports,Sega,Sega,SAT,0.15,0.00,0.15,0.00,0.00,0.00,1995-01-20,1
Chessmaster II,Strategy,Mindscape,Starsphere Interactive,PS,0.15,0.08,0.00,0.06,0.01,75.00,1999-05-31,1
Chessmaster: The Art of Learning,Misc,Ubisoft,Ubisoft,DS,0.15,0.12,0.00,0.03,0.01,0.00,2007-10-23,1
Doctor Who: Evacuation Earth,Adventure,Unknown,Asylum Entertainment,DS,0.15,0.00,0.00,0.13,0.02,0.00,2010-11-12,1
Pressure Cooker,Action,Activision,Activision,2600,0.15,0.14,0.00,0.01,0.00,0.00,1983-01-01,1
Cartoon Network Collection: Game Boy Advance Video Special Edition,Misc,Majesco,Majesco Games,GBA,0.15,0.11,0.00,0.04,0.00,0.00,2005-03-01,1
Jikkyou Powerful Pro Yakyuu 2009,Sports,Konami,Konami,PS2,0.15,0.00,0.15,0.00,0.00,0.00,2009-03-19,1
Disney's The Lion King: Simba's Mighty Adventure,Platform,Activision,Paradox Development,PS,0.15,0.08,0.00,0.06,0.01,0.00,2000-12-22,1
Disney's Story Studio: Disney's Mulan,Misc,NewKidCo,Disney Interactive Studios,PS,0.15,0.09,0.00,0.06,0.01,0.00,1999-12-15,1
Dodge Racing: Charger vs Challenger,Racing,Zoo Games,EM Studios,"DS, Wii",0.15,0.14,0.00,0.00,0.01,0.00,2009-10-13,2
Rudra no Hihou,Role-Playing,Square,SquareSoft,SNES,0.15,0.00,0.15,0.00,0.00,0.00,1996-04-05,1
Power Pro Kun Pocket 1+2,Sports,Konami,Diamond Head,GBA,0.15,0.00,0.14,0.00,0.00,0.00,2004-07-29,1
Baseball Blast!,Sports,2K Sports,Take-Two Interactive,Wii,0.15,0.14,0.00,0.00,0.01,0.00,2009-09-28,1
The Sims 3: Seasons,Simulation,Electronic Arts,Maxis,PC,0.15,0.00,0.00,0.14,0.01,0.00,2012-11-13,1
Pokémon: Johto Photo Finish: Game Boy Advance Video,Misc,Majesco,Nintendo,GBA,0.15,0.11,0.00,0.04,0.00,0.00,2004-06-21,1
Barbie Superpack: Secret Agent / Groovy Games,Misc,VU Games,Digital Illusions,GBA,0.15,0.10,0.00,0.04,0.00,0.00,2005-09-14,1
Knockout Kings 2003,Sports,EA Sports,NEW Corporation,GC,0.15,0.12,0.00,0.03,0.00,0.00,2002-10-09,1
Mad Dash Racing,Racing,Eidos Interactive,Crystal Dynamics,XB,0.15,0.11,0.00,0.03,0.01,0.00,2001-11-14,1
Kingdom of Paradise,Role-Playing,Sony Computer Entertainment,Climax Entertainment,PSP,0.15,0.14,0.00,0.00,0.02,70.00,2005-11-15,1
Your Shape Fitness Evolved 2013,Sports,Ubisoft,Blue Byte,WiiU,0.15,0.07,0.00,0.07,0.01,0.00,2012-11-18,1
Medal of Honor: Infiltrator,Shooter,Electronic Arts,Netherock Ltd.,GBA,0.15,0.11,0.00,0.04,0.00,0.00,2003-11-17,1
Super Street Fighter II,Fighting,Capcom,Capcom,GEN,0.15,0.00,0.15,0.00,0.00,0.00,1994-01-01,1
T'ai Fu: Wrath of the Tiger,Action,Activision,DreamWorks Interactive,PS,0.15,0.08,0.00,0.06,0.01,0.00,1999-02-28,1
Digimon Battle Spirit 2,Fighting,Bandai,Dimps Corporation,GBA,0.15,0.11,0.00,0.04,0.00,70.00,2003-09-24,1
"Warhammer 40,000: Fire Warrior",Shooter,THQ,Kuju Entertainment,PS2,0.15,0.08,0.00,0.06,0.02,0.00,2003-11-17,1
Digimon Rumble Arena 2,Fighting,Bandai,Black Ship Games,"GC, PS2, XB",0.15,0.09,0.00,0.05,0.01,0.00,2004-09-03,3
Jewel Quest Solitaire,Puzzle,GSP,Avanquest Software,DS,0.15,0.00,0.00,0.13,0.01,0.00,2011-02-11,1
Cave Story 3D,Platform,NIS America,Nicalis,3DS,0.15,0.09,0.01,0.03,0.01,82.00,2011-11-08,1
Cave Story+,Platform,Nicalis,Studio Pixel,NS,0.15,0.11,0.01,0.03,0.01,0.00,2017-06-20,1
FIFA 06: Road to FIFA World Cup,Sports,EA Sports,EA Canada,X360,0.15,0.11,0.01,0.02,0.01,61.00,2005-11-16,1
F1 2002,Racing,EA Sports,Visual Sciences Ltd.,"GC, PS2",0.15,0.07,0.02,0.05,0.01,0.00,2002-06-17,2
Bomberman,Puzzle,Ubisoft,Hudson Soft,DS,0.15,0.10,0.03,0.01,0.01,0.00,2005-06-21,1
Suzumiya Haruhi no Yakusoku,Adventure,Namco Bandai,Bandai Namco Games,PSP,0.15,0.00,0.15,0.00,0.00,0.00,2007-12-27,1
The Sims Medieval: Pirates and Nobles,Simulation,Electronic Arts,The Sims Studio,PC,0.15,0.05,0.00,0.08,0.01,55.00,2011-08-30,1
Namco Museum Vol.5,Misc,Namco,Namco,PS,0.15,0.02,0.12,0.01,0.01,0.00,1997-01-01,1
Naruto Shippuden: Legends: Akatsuki Rising,Fighting,Namco Bandai,CyberConnect2,PSP,0.15,0.14,0.00,0.00,0.01,58.00,2009-10-06,1
Nancy Drew: The White Wolf of Icicle Creek,Adventure,Sega,Her Interactive,Wii,0.15,0.14,0.00,0.00,0.01,0.00,2008-12-02,1
Bomberman,Puzzle,Konami,Hudson Soft,PSP,0.15,0.14,0.00,0.00,0.01,73.00,2006-09-12,1
Dark Rift,Fighting,Victory Lap Games,Kronos Digital Entertainment,N64,0.15,0.12,0.00,0.03,0.00,0.00,1997-06-30,1
Kingdom Under Fire: Heroes,Strategy,Microsoft,Phantagram,XB,0.15,0.11,0.00,0.03,0.01,0.00,2005-09-20,1
Challenge Me: Brain Puzzles 2,Puzzle,O-Games,O Games,"DS, Wii",0.15,0.05,0.00,0.09,0.01,0.00,2010-11-23,2
Crush3D,Platform,Sega,Zoë Mode,3DS,0.15,0.10,0.00,0.04,0.01,65.00,2012-03-06,1
Toy Story Racer,Racing,Activision,Traveller's Tales,PS,0.15,0.08,0.00,0.06,0.01,0.00,2001-03-05,1
Monster Hunter Diary: Poka Poka Airou Village DX,Action,Capcom,From Software,3DS,0.15,0.00,0.15,0.00,0.00,0.00,2015-09-10,1
Imagine: Fashion Designer,Simulation,Ubisoft,Ubisoft Sofia,3DS,0.15,0.11,0.00,0.02,0.01,0.00,2011-10-11,1
Travel Games For Dummies,Misc,Electronic Arts,Electronic Arts,DS,0.15,0.14,0.00,0.00,0.01,0.00,2008-10-28,1
Build-A-Bear Workshop: Welcome to Hugsville,Misc,Game Factory,Game Factory,DS,0.15,0.14,0.00,0.00,0.01,0.00,2010-03-23,1
Midnight Mysteries: The Edgar Allan Poe Conspiracy,Adventure,Mumbo Jumbo,MumboJumbo,"DS, PC",0.15,0.08,0.00,0.06,0.01,0.00,2009-07-17,2
eJay Clubworld,Misc,Crave Entertainment,Unique Development Studios,PS2,0.15,0.07,0.00,0.06,0.02,0.00,2003-07-30,1
Mobile Suit Gundam: Perfect One Year War,Strategy,Bandai,Bandai,PS,0.15,0.00,0.14,0.00,0.01,0.00,1997-07-31,1
High Velocity Bowling,Sports,Sony Computer Entertainment,Team Ramrod,PS3,0.15,0.13,0.00,0.00,0.02,0.00,2010-09-21,1
Mobile Suit Gundam Side Story III: Sabakareshi Mono,Shooter,Bandai,Bec,SAT,0.15,0.00,0.15,0.00,0.00,0.00,1997-03-07,1
Arcade Zone,Misc,Activision,Ivolgamus UAB,Wii,0.15,0.14,0.00,0.00,0.01,0.00,2009-09-08,1
Black * Rock Shooter: The Game,Role-Playing,Unknown,imageepoch Inc.,PSP,0.15,0.00,0.15,0.00,0.00,0.00,2020-12-31,1
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,Simulation,Nippon Columbia,Nippon Columbia,3DS,0.15,0.00,0.15,0.00,0.00,0.00,2013-07-25,1
Jonny Moseley Mad Trix,Sports,3DO,3DO,PS2,0.14,0.07,0.00,0.05,0.02,0.00,2001-12-26,1
Real World Golf,Sports,Mad Catz,In2Games / Aqua Pacific,"PS2, XB",0.14,0.07,0.00,0.05,0.01,0.00,2006-04-11,2
World Tour Soccer 2003,Sports,Sony Computer Entertainment,SCEE London Studio,PS2,0.14,0.07,0.00,0.05,0.02,0.00,2003-02-10,1
World Tour Soccer 2002,Sports,Sony Computer Entertainment,SCEE London Studio,PS2,0.14,0.07,0.00,0.05,0.02,0.00,2002-02-17,1
World Soccer Winning Eleven 9 Bonus Pack,Sports,Konami,Konami Computer Entertainment Tokyo,PS2,0.14,0.00,0.14,0.00,0.00,0.00,2006-01-26,1
Grabbed by the Ghoulies,Action,Microsoft Game Studios,Rare Ltd.,XB,0.14,0.11,0.00,0.03,0.01,0.00,2003-10-21,1
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,Adventure,GameMill,Gunnar Games,DS,0.14,0.09,0.00,0.04,0.01,0.00,2010-11-10,1
Strange Brigade,Shooter,Rebellion Developments,Rebellion Developments,"PS4, XOne",0.14,0.09,0.00,0.04,0.03,0.00,2018-08-28,2
The Legend of Heroes II: Prophecy of the Moonlight Witch,Role-Playing,Namco Bandai,MiCROViSion Inc. / Falcom Corporation,PSP,0.14,0.03,0.11,0.00,0.00,0.00,2006-06-20,1
Fox Sports Golf '99,Sports,Fox Interactive,Gremlin Interactive,PS,0.14,0.08,0.00,0.05,0.01,0.00,1998-06-30,1
Imagine: Fashion Stylist,Simulation,Ubisoft,Magic Pockets,DS,0.14,0.13,0.00,0.00,0.01,0.00,2010-11-02,1
Adrenalin Misfits,Racing,Konami,Konami,X360,0.14,0.12,0.00,0.02,0.01,47.00,2010-11-04,1
Star Wars: Jedi Power Battles,Action,THQ,HotGen Studios,GBA,0.14,0.10,0.00,0.04,0.00,0.00,2002-11-21,1
Fate/Unlimited Codes,Fighting,Capcom,Eighting,PS2,0.14,0.00,0.14,0.00,0.00,0.00,2008-12-18,1
The King of Fighters '94 (CD),Fighting,SNK,SNK Corporation,NG,0.14,0.00,0.14,0.00,0.00,0.00,1994-01-01,1
Hard Rock Casino,Misc,Crave Entertainment,Crave Entertainment,PSP,0.14,0.12,0.00,0.00,0.01,38.00,2007-04-24,1
King's Quest: The Complete Collection,Adventure,Activision,The Odd Gentlemen,"PS4, X360, XOne",0.14,0.12,0.00,0.00,0.02,0.00,2016-10-18,3
Dino Crisis 3,Action,Capcom,Capcom Production Studio 4,XB,0.14,0.08,0.03,0.03,0.00,0.00,2003-09-16,1
Diner Dash: Flo on the Go,Puzzle,Zoo Games,Zoo Games,DS,0.14,0.13,0.00,0.00,0.01,0.00,2009-10-20,1
7th Dragon,Role-Playing,Sega,imageepoch Inc.,DS,0.14,0.00,0.14,0.00,0.00,0.00,2009-03-05,1
Houshinengi,Strategy,KOEI,Koei / Inis,PS,0.14,0.00,0.13,0.00,0.01,0.00,1998-09-10,1
Naruto Shippuden: Kizuna Drive,Action,Namco Bandai,Bandai Namco Games,PSP,0.14,0.04,0.05,0.03,0.02,70.00,2011-03-22,1
Naruto RPG 2: Chidori vs Rasengan,Role-Playing,Tomy Corporation,Tomy Corporation,DS,0.14,0.00,0.14,0.00,0.00,0.00,2005-07-14,1
Balloon Pop,Puzzle,UFO Interactive,Tommo,DS,0.14,0.13,0.00,0.00,0.01,0.00,2009-10-23,1
Gundam: The Battle Master,Fighting,Bandai,Bandai,PS,0.14,0.00,0.13,0.00,0.01,0.00,1997-06-20,1
Enclave,Adventure,Conspiracy Entertainment,Starbreeze Studios,XB,0.14,0.11,0.00,0.03,0.01,0.00,2002-07-29,1
Asphalt: Urban GT 2,Racing,Ubisoft,Virtuos / Game Source,DS,0.14,0.09,0.00,0.04,0.01,0.00,2006-11-14,1
Run for Money CHO Tousouchuu,Action,Namco Bandai Games,Bandai Namco Games,3DS,0.14,0.00,0.14,0.00,0.00,0.00,2015-07-09,1
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Fighting,Bandai,Aki Corporation,GC,0.14,0.04,0.08,0.01,0.00,80.00,2003-06-05,1
S.C.A.R.S,Racing,Ubisoft,Vivid Image,"N64, PS",0.14,0.10,0.00,0.04,0.01,0.00,1998-12-04,2
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,Ubisoft,Ubisoft,"GBA, GC",0.14,0.11,0.00,0.04,0.00,67.00,2004-07-20,2
Assassination Classroom: Grand Siege on Korosensei,Action,Namco Bandai Games,Bandai Namco Games,3DS,0.14,0.00,0.14,0.00,0.00,0.00,2015-03-12,1
FIFA 06 Soccer,Sports,EA Sports,EA Canada,GC,0.14,0.11,0.00,0.03,0.00,0.00,2005-10-04,1
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",Role-Playing,NIS America,Acquire,PSP,0.14,0.00,0.13,0.00,0.00,69.00,2009-07-16,1
Hasbro Family Fun Pack Conquest Edition,Misc,Ubisoft,Ubisoft,"PS4, XOne",0.14,0.12,0.00,0.00,0.03,0.00,2016-11-15,2
SafeCracker: The Ultimate Puzzle Adventure,Puzzle,DreamCatcher Interactive,JoWood Productions,DS,0.14,0.07,0.00,0.06,0.01,0.00,2009-12-07,1
The Technomancer,Role-Playing,Focus Home Interactive,Spiders,"PS4, XOne",0.14,0.07,0.00,0.06,0.02,0.00,2016-06-28,2
Naruto: Ninja Council 3 (JP sales),Action,D3 Publisher,Aspect,DS,0.14,0.00,0.13,0.01,0.00,0.00,2007-05-22,1
Master Jin Jin's IQ Challenge,Misc,Valcon Games,ASK,DS,0.14,0.13,0.00,0.00,0.01,0.00,2007-10-08,1
Nayuta no Kiseki,Action,Nihon Falcom Corp,Nihon Falcom Corporation,PSP,0.14,0.00,0.14,0.00,0.00,0.00,2012-07-26,1
Championship Motocross 2001 featuring Ricky Carmichael,Racing,THQ,Funcom,PS,0.14,0.08,0.00,0.05,0.01,68.00,2001-01-30,1
Sine Mora EX,Action,THQ Nordic,Digital Reality,"NS, PS4, XOne",0.14,0.06,0.00,0.05,0.01,80.00,2017-08-08,3
NHL Breakaway 98,Sports,Acclaim Entertainment,Sculptured Software,PS,0.14,0.08,0.00,0.05,0.01,0.00,1997-09-30,1
Klonoa: Empire of Dreams,Platform,Namco,Namco,GBA,0.14,0.10,0.00,0.04,0.00,86.00,2001-09-11,1
Barbie Explorer,Platform,Unknown,Runecraft,PS,0.14,0.08,0.00,0.05,0.01,0.00,2001-09-04,1
Barbarian,Fighting,Titus,Saffire Corporation,PS2,0.14,0.07,0.00,0.06,0.02,0.00,2002-06-27,1
Jikkyou Powerful Pro Baseball Heroes,Action,Konami Digital Entertainment,Konami,3DS,0.14,0.00,0.14,0.00,0.00,0.00,2016-12-15,1
Rugby 2005,Sports,EA Sports,HB Studios Multimedia,"PS2, XB",0.14,0.08,0.00,0.04,0.01,0.00,2005-03-08,2
Tomb Raider: The Prophecy,Adventure,Ubisoft,Ubisoft Milan,GBA,0.14,0.10,0.00,0.04,0.00,0.00,2002-11-12,1
Disney's Cinderella: Magical Dreams,Platform,Buena Vista,Culture Brain,GBA,0.14,0.10,0.00,0.04,0.00,60.00,2005-09-20,1
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,Sports,Nintendo,HAL Laboratory,N64,0.14,0.00,0.14,0.00,0.00,0.00,2000-03-31,1
Agile Warrior F-111X,Simulation,Virgin Interactive,Black Ops Entertainment,PS,0.14,0.08,0.00,0.05,0.01,0.00,1995-11-21,1
Age of Empires: Collector's Edition,Strategy,Microsoft,Ensemble Studios,PC,0.14,0.02,0.00,0.10,0.01,0.00,2000-11-02,1
Bassmasters 2000,Sports,THQ,Mass Media,N64,0.14,0.11,0.00,0.03,0.00,0.00,1999-12-16,1
Hero's Saga Laevatein Tactics,Role-Playing,Aksys Games,GungHo,DS,0.14,0.13,0.00,0.00,0.01,0.00,2009-10-13,1
Wild ARMs XF,Role-Playing,Xseed Games,Media.Vision,PSP,0.14,0.07,0.06,0.00,0.01,0.00,2008-03-11,1
Wild ARMs 4,Role-Playing,Xseed Games,Media.Vision,PS2,0.14,0.07,0.00,0.06,0.02,66.00,2006-01-10,1
Yaiba: Ninja Gaiden Z,Misc,Tecmo Koei,Unknown,"PS3, X360",0.14,0.08,0.00,0.04,0.02,0.00,2014-03-04,2
Xevious 3D/G+,Shooter,Namco,Namco,PS,0.14,0.01,0.11,0.01,0.01,0.00,1997-06-30,1
Mega Man Powered Up,Platform,Capcom,Capcom,PSP,0.14,0.12,0.00,0.01,0.02,87.00,2006-03-14,1
Dave Mirra BMX Challenge,Sports,Crave Entertainment,Left Field Productions,"PSP, Wii",0.14,0.12,0.00,0.00,0.02,35.00,2007-10-02,2
Sakura Wars GB,Adventure,Media Factory,Media Factory,GB,0.14,0.00,0.14,0.00,0.00,0.00,2000-07-28,1
Akiba's Trip,Adventure,Acquire,PROPE,PSP,0.14,0.00,0.14,0.00,0.00,0.00,2011-05-19,1
Shrek 2 and Shark Tale 2-in-1 Pack,Misc,Activision,Vicarious Visions,GBA,0.14,0.10,0.00,0.04,0.00,0.00,2005-08-25,1
Lips: I Love The 80s,Music,Microsoft Game Studios,iNiS,X360,0.14,0.00,0.00,0.12,0.02,0.00,2010-04-02,1
Eternal Eyes,Role-Playing,Crave Entertainment,SunSoft,PS,0.14,0.08,0.00,0.05,0.01,0.00,2000-10-31,1
Hot Wheels: World Race,Racing,THQ,Climax Group,GBA,0.14,0.10,0.00,0.04,0.00,0.00,2003-11-14,1
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,Adventure,Sunsoft,SunSoft,PS,0.14,0.08,0.00,0.05,0.01,0.00,1999-03-31,1
Under Night In-Birth,Fighting,Aksys Games,Ecole Software,PS3,0.14,0.07,0.05,0.01,0.02,0.00,2015-02-24,1
Pipe Dreams 3D,Puzzle,Take-Two Interactive,Sick Puppies,PS,0.14,0.08,0.00,0.05,0.01,0.00,2001-10-23,1
Who Wants to Be a Millionaire: 3rd Edition,Misc,Ubisoft,Ubisoft,"DS, Wii",0.14,0.14,0.00,0.00,0.01,0.00,2010-10-05,2
Dora's Big Birthday Adventure,Misc,2K Play,TBA,"PS2, Wii",0.14,0.11,0.00,0.02,0.01,0.00,2010-10-26,2
Kamen Rider: Super Climax Heroes,Fighting,Namco Bandai Games,Eighting,"PSP, Wii",0.14,0.00,0.14,0.00,0.00,0.00,2012-11-29,2
Fur Fighters: Viggo's Revenge,Action,Acclaim Entertainment,Bizarre Creations,PS2,0.14,0.07,0.00,0.05,0.02,0.00,2001-06-03,1
Power Pro Kun Pocket 8,Sports,Konami,PawaPuro Production,DS,0.14,0.00,0.14,0.00,0.00,0.00,2005-12-01,1
Kamen Rider Ryuki,Action,Bandai,Bandai,PS,0.14,0.00,0.13,0.00,0.01,0.00,2002-11-28,1
Kamen Rider Battle: Ganbaride Card Battle Taisen,Strategy,Namco Bandai,Bandai Namco Games,DS,0.14,0.00,0.14,0.00,0.00,0.00,2010-07-29,1
Power Stone,Fighting,Capcom,Capcom,DC,0.14,0.00,0.14,0.00,0.00,86.00,1999-08-31,1
Tennis no Oji-Sama: Aim at The Victory!,Sports,Konami,Konami,GBA,0.14,0.00,0.14,0.00,0.00,0.00,2002-12-12,1
4X4 EVO 2,Racing,VU Games,Terminal Reality,GC,0.14,0.11,0.00,0.03,0.00,51.00,2002-09-09,1
Destruction Derby Raw,Racing,Midway Games,Studio 33,PS,0.14,0.08,0.00,0.05,0.01,0.00,2000-09-26,1
Uta no * Prince-Sama: Repeat,Adventure,Broccoli,Broccoli,PSP,0.14,0.00,0.14,0.00,0.00,0.00,2011-08-11,1
Daytona USA Championship Circuit Edition,Racing,Sega,Sega-AM3,SAT,0.14,0.00,0.14,0.00,0.00,0.00,1996-11-25,1
Phantom Brave,Role-Playing,NIS America,Nippon Ichi Software,PS2,0.14,0.07,0.00,0.05,0.02,0.00,2004-08-31,1
Atari's Greatest Hits: Volume 1,Misc,Atari,Atari,DS,0.14,0.13,0.00,0.00,0.01,0.00,2010-11-02,1
Zatch Bell! Mamodo Battles,Fighting,Bandai,Eighting,"GC, PS2",0.14,0.09,0.00,0.04,0.01,70.00,2005-10-19,2
Fashion Studio: Paris Collection,Misc,Ubisoft,Ubisoft,DS,0.14,0.13,0.00,0.00,0.01,0.00,2009-03-31,1
Farming Simulator 2012,Simulation,Excalibur Publishing Limited,Astragon,3DS,0.14,0.00,0.00,0.13,0.01,0.00,2012-03-30,1
Jenga World Tour,Misc,Atari,Atomic Planet Entertainment,"DS, Wii",0.14,0.13,0.00,0.00,0.01,20.00,2007-12-07,2
Power Rangers: Super Legends,Action,Disney Interactive Studios,Artificial Mind and Movement,PS2,0.14,0.07,0.00,0.06,0.02,0.00,2007-11-06,1
NCAA Basketball Final Four 97,Sports,Mindscape,High Voltage Software,PS,0.14,0.08,0.00,0.05,0.01,0.00,1997-03-31,1
Doom,Shooter,Activision,David A. Palmer Productions,GBA,0.14,0.10,0.00,0.04,0.00,83.00,2001-10-28,1
NBA ShootOut 2002,Sports,Sony Computer Entertainment,989 Sports,PS,0.14,0.08,0.00,0.05,0.01,0.00,2001-09-01,1
Krull,Action,Atari,Atari,2600,0.14,0.13,0.00,0.01,0.00,0.00,1983-01-01,1
Doshin the Giant,Simulation,Nintendo,Param,GC,0.14,0.00,0.14,0.00,0.00,68.00,2002-09-20,1
Dragon Age: Origins - Ultimate Edition,Role-Playing,Electronic Arts,BioWare Corp.,PC,0.14,0.00,0.00,0.12,0.01,0.00,2010-10-12,1
Robots,Action,VU Games,Amaze Entertainment,DS,0.14,0.12,0.00,0.00,0.01,45.00,2005-02-24,1
Apex,Racing,Atari,Milestone,XB,0.14,0.10,0.00,0.03,0.00,0.00,2003-02-17,1
Ape Escape Academy (jp sales),Party,Sony Computer Entertainment,Shift,PSP,0.14,0.00,0.13,0.00,0.00,0.00,2006-01-17,1
RockMan & Forte,Platform,Capcom,Capcom,SNES,0.14,0.00,0.14,0.00,0.00,0.00,1998-04-24,1
Front Mission Alternative,Strategy,Square,SquareSoft,PS,0.14,0.00,0.13,0.00,0.01,0.00,1997-12-18,1
Doukyuusei,Adventure,NEC,Flight Plan,PCE,0.14,0.00,0.14,0.00,0.00,0.00,1995-11-23,1
Soukaigi,Role-Playing,Square,Yuke's,PS,0.14,0.00,0.13,0.00,0.01,0.00,1998-05-28,1
Mytran Wars,Strategy,Deep Silver,Stormregion,PSP,0.14,0.09,0.00,0.02,0.03,0.00,2009-10-20,1
Winter Sports 2011,Sports,DTP Entertainment,49Games,"PS3, Wii, X360",0.14,0.00,0.00,0.12,0.02,0.00,2011-02-25,3
Shonen Jump's Shaman King: Master of Spirits,Role-Playing,Konami,Konami,GBA,0.14,0.10,0.00,0.04,0.00,0.00,2004-11-09,1
The Granstream Saga,Role-Playing,THQ,Shade,PS,0.14,0.08,0.00,0.05,0.01,76.00,1998-06-30,1
Detective Barbie: The Mystery Cruise,Adventure,Mattel Interactive,Runecraft,PS,0.14,0.08,0.00,0.05,0.01,0.00,2000-01-01,1
Desire,Adventure,Imadio,Imadio,SAT,0.14,0.00,0.14,0.00,0.00,0.00,1997-09-11,1
Gyakuten Saiban 2,Adventure,Capcom,Capcom,GBA,0.14,0.00,0.14,0.00,0.00,0.00,2002-10-18,1
Gyakuten Saiban 2,Action,Capcom,Capcom,GBA,0.14,0.00,0.14,0.00,0.00,0.00,2002-10-18,1
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Sports,SouthPeak Interactive,Lightning Fish,Wii,0.14,0.12,0.00,0.02,0.01,0.00,2010-12-13,1
Backyard Sports: Sandlot Sluggers,Sports,Atari,"Powerhead, LLC",DS,0.14,0.13,0.00,0.00,0.01,0.00,2010-05-25,1
Mary-Kate and Ashley: Winners Circle,Action,Acclaim Entertainment,Tantalus Interactive,PS,0.14,0.08,0.00,0.05,0.01,0.00,2001-03-05,1
Mary-Kate and Ashley: Crush Course,Action,Acclaim Entertainment,n-Space,PS,0.14,0.08,0.00,0.05,0.01,0.00,2001-08-31,1
